File,Cloud Cover Over Land,Climate ID
LANDSAT_LC08_C02_T1_LC08_048023_20140906_1096631_100000_1410030393283.tif,0.03,1096631
LANDSAT_LC08_C02_T1_LC08_048023_20180426_1096631_100000_1524769537763.tif,0.11,1096631
LANDSAT_LC08_C02_T1_LC08_048023_20161216_1096631_100000_1481915200984.tif,0.34,1096631
LANDSAT_LC08_C02_T1_LC08_048023_20181019_1096631_100000_1539975977078.tif,0.35,1096631
LANDSAT_LC08_C02_T1_LC08_048023_20180512_1096631_100000_1526151927990.tif,0.81,1096631
LANDSAT_LC08_C02_T1_LC08_048023_20190702_1096631_100000_1562094379832.tif,1.2,1096631
LANDSAT_LC08_C02_T1_LC08_048023_20151230_1096631_100000_1451502392100.tif,1.3,1096631
LANDSAT_LC08_C02_T1_LC08_048023_20190224_1096631_100000_1551035167548.tif,1.99,1096631
LANDSAT_LC08_C02_T1_LC08_048023_20180816_1096631_100000_1534446351916.tif,2.01,1096631
LANDSAT_LC08_C02_T1_LC08_048023_20190328_1096631_100000_1553799958686.tif,3.13,1096631
LANDSAT_LC08_C02_T1_LC08_049019_20160513_1192948_100000_1463166632705.tif,0.0,1192948
LANDSAT_LC08_C02_T1_LC08_049019_20220818_1192948_100000_1660849892532.tif,0.0,1192948
LANDSAT_LC08_C02_T1_LC08_049019_20180519_1192948_100000_1526756998110.tif,0.04,1192948
LANDSAT_LC08_C02_T1_LC08_049019_20160106_1192948_100000_1452107464513.tif,0.08,1192948
LANDSAT_LC08_C02_T1_LC08_049019_20190303_1192948_100000_1551640240682.tif,0.13,1192948
LANDSAT_LC08_C02_T1_LC08_049019_20190319_1192948_100000_1553022635713.tif,0.18,1192948
LANDSAT_LC08_C02_T1_LC08_049019_20180401_1192948_100000_1522609827202.tif,0.24,1192948
LANDSAT_LC08_C02_T1_LC08_049019_20171108_1192948_100000_1510168277182.tif,0.26,1192948
LANDSAT_LC08_C02_T1_LC08_049019_20200117_1192948_100000_1579288270437.tif,0.39,1192948
LANDSAT_LC08_C02_T1_LC08_049019_20210204_1192948_100000_1612465867764.tif,0.4,1192948
LANDSAT_LC08_C02_T1_LC08_057014_20200329_2201401_100000_1585511891000.tif,0.0,2201401
LANDSAT_LC08_C02_T1_LC08_058013_20180416_2201401_100000_1523909012597.tif,0.0,2201401
LANDSAT_LC08_C02_T1_LC08_058013_20140405_2201401_100000_1396728264678.tif,0.0,2201401
LANDSAT_LC08_C02_T1_LC08_058013_20220326_2201401_100000_1648325041725.tif,0.0,2201401
LANDSAT_LC08_C02_T1_LC08_058013_20180331_2201401_100000_1522526621771.tif,0.0,2201401
LANDSAT_LC08_C02_T1_LC08_058014_20180416_2201401_100000_1523909036466.tif,0.0,2201401
LANDSAT_LC08_C02_T1_LC08_059013_20140412_2201401_100000_1397333427438.tif,0.0,2201401
LANDSAT_LC08_C02_T1_LC08_058014_20210323_2201401_100000_1616529867051.tif,0.0,2201401
LANDSAT_LC08_C02_T1_LC08_058013_20210323_2201401_100000_1616529843172.tif,0.0,2201401
LANDSAT_LC08_C02_T1_LC08_058013_20240416_2201401_100000_1713297825249.tif,0.0,2201401
LANDSAT_LC08_C02_T1_LC08_044018_20140403_2202203_100000_1396550394243.tif,0.0,2202203
LANDSAT_LC08_C02_T1_LC08_044018_20130409_2202203_100000_1365532813136.tif,0.0,2202203
LANDSAT_LC08_C02_T1_LC08_043018_20180407_2202203_100000_1523125975257.tif,0.0,2202203
LANDSAT_LC08_C02_T1_LC08_043018_20191003_2202203_100000_1570127633558.tif,0.0,2202203
LANDSAT_LC08_C02_T1_LC08_043018_20220605_2202203_100000_1654454015461.tif,0.01,2202203
LANDSAT_LC08_C02_T1_LC08_043018_20220301_2202203_100000_1646159612968.tif,0.01,2202203
LANDSAT_LC08_C02_T1_LC08_043018_20200412_2202203_100000_1586716388890.tif,0.01,2202203
LANDSAT_LC08_C02_T1_LC08_044018_20180313_2202203_100000_1520966357467.tif,0.02,2202203
LANDSAT_LC08_C02_T1_LC08_043018_20200530_2202203_100000_1590863580661.tif,0.02,2202203
LANDSAT_LC08_C02_T1_LC08_044018_20160323_2202203_100000_1458758367598.tif,0.02,2202203
LANDSAT_LC08_C02_T1_LC08_042023_20140811_3012202_100000_1407781763308.tif,0.01,3012202
LANDSAT_LC08_C02_T1_LC08_043023_20141005_3012202_100000_1412534142622.tif,0.07,3012202
LANDSAT_LC08_C02_T1_LC08_043022_20141005_3012202_100000_1412534118739.tif,0.11,3012202
LANDSAT_LC08_C02_T1_LC08_043022_20140223_3012202_100000_1393180552344.tif,1.07,3012202
LANDSAT_LC08_C02_T1_LC08_043022_20140122_3012202_100000_1390415775487.tif,1.36,3012202
LANDSAT_LC08_C02_T1_LC08_043023_20140701_3012202_100000_1404239717611.tif,2.73,3012202
LANDSAT_LC08_C02_T1_LC08_042023_20130925_3012202_100000_1380133872813.tif,3.04,3012202
LANDSAT_LC08_C02_T1_LC08_043022_20130628_3012202_100000_1372444624898.tif,3.73,3012202
LANDSAT_LC08_C02_T1_LC08_042023_20140624_3012202_100000_1403634543038.tif,4.08,3012202
LANDSAT_LC08_C02_T1_LC08_042023_20130824_3012202_100000_1377369082997.tif,4.95,3012202
LANDSAT_LC08_C02_T1_LC08_041024_20140225_3031092_100000_1393352656237.tif,0.0,3031092
LANDSAT_LC08_C02_T1_LC08_041025_20140225_3031092_100000_1393352680115.tif,0.01,3031092
LANDSAT_LC08_C02_T1_LC08_042024_20130327_3031092_100000_1364408948940.tif,0.05,3031092
LANDSAT_LC08_C02_T1_LC08_042024_20200320_3031092_100000_1584728972941.tif,0.05,3031092
LANDSAT_LC08_C02_T1_LC08_042024_20140811_3031092_100000_1407781787195.tif,0.06,3031092
LANDSAT_LC08_C02_T1_LC08_041025_20180103_3031092_100000_1515003845573.tif,0.07,3031092
LANDSAT_LC08_C02_T1_LC08_041024_20220911_3031092_100000_1662920650095.tif,0.07,3031092
LANDSAT_LC08_C02_T1_LC08_042024_20200726_3031092_100000_1595788179900.tif,0.11,3031092
LANDSAT_LC08_C02_T1_LC08_042024_20151017_3031092_100000_1445106585629.tif,0.12,3031092
LANDSAT_LC08_C02_T1_LC08_041024_20221114_3031092_100000_1668450246707.tif,0.15,3031092
LANDSAT_LC08_C02_T1_LC08_042024_20230430_3050519_100000_1682879353040.tif,1.22,3050519
LANDSAT_LC08_C02_T1_LC08_042025_20230329_3050519_100000_1680114596445.tif,1.68,3050519
LANDSAT_LC08_C02_T1_LC08_042024_20230329_3050519_100000_1680114572571.tif,2.68,3050519
LANDSAT_LC08_C02_T1_LC08_042025_20230430_3050519_100000_1682879376918.tif,2.82,3050519
LANDSAT_LC08_C02_T1_LC08_043024_20131018_3050519_100000_1382121465304.tif,4.04,3050519
LANDSAT_LC08_C02_T1_LC08_043024_20131205_3050519_100000_1386268652254.tif,4.11,3050519
